State,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
Illinois,717992.0,717992.0,242823.0,2062.0,23.0,7001.0,3627.0,135795.0,126628.0,655.0,1867.0,21568.0,58037.0,3572.0,667.0,3579.0,3567.0,0.0,39777.0,1209.0,5564.0,11820.0,29296.0,314.0,5226.0,13315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,439416.0,439416.0,152164.0,6780.0,2845.0,3069.0,2747.0,57797.0,24724.0,3162.0,1879.0,10103.0,52871.0,6732.0,1929.0,0.0,4961.0,0.0,11941.0,679.0,4384.0,7042.0,71583.0,49.0,5495.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii,700444.0,547843.0,3014.0,87.0,450.0,158.0,384.0,52966.0,221724.0,56.0,258.0,172049.0,24271.0,2494.0,62.0,209.0,49.0,1674.0,45.0,163.0,780.0,5607.0,9650.0,0.0,472.0,51221.0,152601.0,90070.0,15174.0,4375.0,874.0,1847.0,8966.0,20626.0,679.0,64.0,926.0,9000.0
Indiana,170566.0,170566.0,47401.0,304.0,0.0,21803.0,620.0,33696.0,17276.0,1344.0,679.0,5255.0,15917.0,661.0,576.0,237.0,243.0,0.0,4530.0,257.0,1029.0,1441.0,10747.0,103.0,3788.0,2659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,76134.0,76134.0,14235.0,388.0,139.0,5237.0,1384.0,13931.0,5958.0,685.0,177.0,1087.0,7478.0,4054.0,80.0,320.0,1503.0,0.0,443.0,85.0,284.0,1925.0,10978.0,0.0,3005.0,2758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,87018.0,87018.0,16564.0,104.0,407.0,5316.0,3887.0,15841.0,5768.0,2189.0,284.0,3638.0,4201.0,7382.0,235.0,83.0,1574.0,20.0,1356.0,479.0,644.0,1923.0,12951.0,0.0,653.0,1519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky,73087.0,73087.0,25357.0,63.0,0.0,5199.0,1333.0,9358.0,6747.0,530.0,70.0,4777.0,4844.0,118.0,0.0,185.0,1928.0,0.0,2362.0,50.0,1056.0,1299.0,4882.0,0.0,1662.0,1267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana,81506.0,81506.0,14042.0,256.0,0.0,571.0,1192.0,11107.0,7887.0,0.0,145.0,2109.0,2634.0,1436.0,0.0,17.0,386.0,0.0,1205.0,792.0,52.0,1567.0,33698.0,0.0,130.0,2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
