State,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri,124518.0,124518.0,26346.0,411.0,0.0,3767.0,3207.0,30333.0,14010.0,2207.0,363.0,4625.0,10579.0,197.0,44.0,790.0,2387.0,102.0,4868.0,61.0,2172.0,2437.0,12952.0,0.0,834.0,1826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nebraska,47118.0,47118.0,7825.0,475.0,629.0,5277.0,12.0,6422.0,2931.0,128.0,157.0,2188.0,3002.0,767.0,147.0,82.0,4424.0,0.0,439.0,636.0,61.0,2777.0,6510.0,43.0,1076.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,255025.0,255025.0,19416.0,466.0,0.0,1709.0,756.0,33227.0,134982.0,799.0,872.0,12510.0,17140.0,2075.0,45.0,0.0,682.0,94.0,1351.0,406.0,1404.0,7952.0,11113.0,135.0,1604.0,6287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey,886261.0,886261.0,406579.0,13890.0,124.0,810.0,1737.0,159898.0,108282.0,75.0,2211.0,15281.0,94386.0,307.0,207.0,146.0,2118.0,94.0,31302.0,2594.0,7531.0,2277.0,20064.0,129.0,6613.0,9606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,1734663.0,1734663.0,397352.0,78248.0,1742.0,13291.0,4958.0,743344.0,113573.0,292.0,4730.0,34504.0,124930.0,4711.0,2181.0,420.0,14926.0,0.0,81408.0,4768.0,15554.0,13430.0,35389.0,644.0,20318.0,23950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,295672.0,295672.0,104290.0,1571.0,1944.0,5528.0,5141.0,45418.0,24372.0,12968.0,593.0,6287.0,17356.0,6823.0,239.0,215.0,3037.0,234.0,5772.0,940.0,1606.0,4349.0,36811.0,135.0,7299.0,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
