County,FIPS,Total Population,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
"Autauga County, Alabama",01001,55049,475,444,0,0,0,0,0,164,55,0,0,13,0,0,0,0,0,0,0,0,0,18,170,0,24,0,31,0,0,0,0,31,0,0,0,0,0,0
"Baldwin County, Alabama",01003,199510,1338,1338,129,0,0,0,0,563,214,0,0,70,91,0,0,0,0,0,0,0,0,0,267,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Barbour County, Alabama",01005,26614,129,129,11,45,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bibb County, Alabama",01007,22572,14,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blount County, Alabama",01009,57704,92,92,2,0,0,0,0,25,19,0,0,0,29,0,0,0,14,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bullock County, Alabama",01011,10552,84,84,15,0,0,0,0,46,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butler County, Alabama",01013,20280,203,203,28,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calhoun County, Alabama",01015,115883,1085,1079,127,0,0,0,19,110,172,0,0,40,286,0,0,0,0,0,26,0,0,154,145,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
"Chambers County, Alabama",01017,34018,312,312,66,0,0,0,0,0,4,0,0,1,226,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Cherokee County, Alabama",01019,25897,109,109,23,0,0,0,0,21,9,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chilton County, Alabama",01021,43817,191,191,0,0,0,0,0,0,184,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choctaw County, Alabama",01023,13287,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarke County, Alabama",01025,24847,147,114,40,0,0,0,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0
"Clay County, Alabama",01027,13483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleburne County, Alabama",01029,14991,86,86,0,0,0,0,0,0,70,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee County, Alabama",01031,50991,623,623,47,0,0,0,9,89,65,0,0,5,339,0,0,0,0,29,0,0,0,3,26,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Colbert County, Alabama",01033,54377,286,255,41,0,0,0,0,76,50,0,0,30,26,9,0,0,0,0,0,0,0,0,23,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0
"Conecuh County, Alabama",01035,12697,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coosa County, Alabama",01037,10864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Covington County, Alabama",01039,37729,199,176,0,0,0,0,0,51,0,0,0,35,34,9,0,0,0,0,0,0,0,7,40,0,0,0,23,17,0,0,0,0,0,0,0,0,6,0
"Crenshaw County, Alabama",01041,13896,232,232,18,0,0,0,0,0,10,0,0,0,135,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cullman County, Alabama",01043,81316,516,497,38,0,0,0,0,213,134,0,0,74,30,0,0,0,0,0,0,0,0,0,8,0,0,0,19,15,0,0,0,0,0,0,0,0,4,0
"Dale County, Alabama",01045,49607,519,508,51,0,0,0,0,0,125,0,0,36,134,18,0,0,0,0,0,0,0,8,74,0,27,35,11,0,9,0,0,0,0,2,0,0,0,0
"Dallas County, Alabama",01047,41426,200,163,86,0,0,0,0,29,31,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,17,0,0,0,20,0,0,0,0,0,0
"DeKalb County, Alabama",01049,70937,711,214,0,0,0,0,0,12,63,0,0,0,88,0,0,0,0,0,0,0,0,26,14,0,11,0,497,0,0,0,0,497,0,0,0,0,0,0
"Elmore County, Alabama",01051,80957,457,457,65,0,0,0,0,165,71,0,0,0,105,9,0,0,0,0,0,0,0,23,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0
"Escambia County, Alabama",01053,37875,107,40,0,0,0,0,8,3,2,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,8,0,67,0,0,0,67,0,0,0,0,0,0,0
"Etowah County, Alabama",01055,103363,766,699,113,0,0,0,0,213,82,0,0,0,88,0,0,0,41,0,0,0,0,119,43,0,0,0,67,0,0,0,36,31,0,0,0,0,0,0
"Fayette County, Alabama",01057,16783,45,45,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franklin County, Alabama",01059,31573,120,102,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,88,0,0,2,0,18,0,0,0,0,0,18,0,0,0,0,0
"Geneva County, Alabama",01061,26765,103,103,0,0,0,0,0,94,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Greene County, Alabama",01063,8587,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hale County, Alabama",01065,15159,25,16,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
"Henry County, Alabama",01067,17187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houston County, Alabama",01069,103891,893,866,182,7,0,5,0,153,61,0,10,69,91,0,0,0,0,0,20,0,0,41,199,0,18,10,27,27,0,0,0,0,0,0,0,0,0,0
"Jackson County, Alabama",01071,52608,224,196,64,0,0,0,0,40,0,0,0,18,7,0,0,0,0,0,0,0,0,11,34,0,3,19,28,11,0,0,0,17,0,0,0,0,0,0
"Jefferson County, Alabama",01073,659096,10130,9932,3152,96,0,31,8,2369,458,0,0,134,1010,17,24,0,102,0,739,16,30,99,1448,0,63,136,198,15,0,0,0,50,19,90,0,0,23,1
"Lamar County, Alabama",01075,14066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lauderdale County, Alabama",01077,92641,644,629,230,0,0,0,0,64,114,0,0,0,87,20,0,0,45,0,1,0,8,37,0,0,23,0,15,0,0,0,0,10,0,0,0,0,5,0
"Lawrence County, Alabama",01079,33433,31,31,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee County, Alabama",01081,153947,5603,5576,836,102,0,0,56,1070,142,0,10,235,2286,43,34,0,0,0,154,0,14,0,543,0,7,44,27,0,0,0,0,0,0,11,0,0,0,16
"Limestone County, Alabama",01083,90257,1155,1125,321,0,0,0,0,136,121,160,0,35,138,0,0,31,0,0,0,0,0,0,128,0,55,0,30,0,0,0,0,18,0,12,0,0,0,0
"Lowndes County, Alabama",01085,10565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macon County, Alabama",01087,19684,44,44,0,11,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madison County, Alabama",01089,349973,8970,8574,2026,41,0,0,153,1375,1111,0,65,356,1652,72,0,0,25,0,388,0,41,250,943,0,0,76,396,146,54,0,19,142,35,0,0,0,0,0
"Marengo County, Alabama",01091,20066,43,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marion County, Alabama",01093,30239,98,98,0,0,0,0,0,15,13,0,0,17,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall County, Alabama",01095,94534,576,556,247,0,0,0,0,25,147,0,0,60,18,0,0,0,0,0,1,0,0,2,56,0,0,0,20,17,0,0,2,1,0,0,0,0,0,0
"Mobile County, Alabama",01097,414291,8189,8140,1090,0,0,0,286,843,899,0,8,302,193,1033,0,0,55,0,192,12,0,195,2808,0,27,197,49,30,19,0,0,0,0,0,0,0,0,0
"Monroe County, Alabama",01099,21975,50,50,0,0,0,0,42,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montgomery County, Alabama",01101,227392,5153,5109,1066,228,0,0,0,522,313,0,0,176,2388,253,0,0,0,0,0,0,3,43,73,0,24,20,44,0,22,0,0,15,0,0,0,0,7,0
"Morgan County, Alabama",01103,119555,807,802,235,0,0,0,11,191,95,0,0,18,107,0,27,0,0,0,0,0,0,19,58,0,0,41,5,0,5,0,0,0,0,0,0,0,0,0
"Perry County, Alabama",01105,9856,18,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pickens County, Alabama",01107,20042,21,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,9,0,0,0,0,0,0,0,0,0,0
"Pike County, Alabama",01109,33277,706,704,31,0,0,0,0,329,23,0,0,0,38,0,0,0,0,0,20,0,16,0,235,0,0,12,2,0,2,0,0,0,0,0,0,0,0,0
"Randolph County, Alabama",01111,22615,95,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0
"Russell County, Alabama",01113,58636,563,435,8,0,0,0,0,11,60,0,0,14,37,0,0,0,0,0,0,0,0,0,301,0,4,0,128,0,60,0,0,0,30,38,0,0,0,0
"St. Clair County, Alabama",01115,86576,741,741,194,0,0,0,0,240,208,0,0,38,13,0,0,0,0,0,28,0,0,0,10,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
"Shelby County, Alabama",01117,205951,4155,4088,1227,0,0,0,0,878,222,0,0,201,594,0,0,0,0,0,0,32,47,64,799,0,17,7,67,23,0,0,0,29,0,0,0,0,0,15
"Sumter County, Alabama",01119,13285,375,375,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
