County,county_fips,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
"Fayette County, Illinois",17051,116,10,0,0,0,0,63,20,0,4,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,0,0,0,0,0,28,0,0,0,0
"Logan County, Illinois",17107,218,113,0,0,0,0,37,4,0,0,3,9,0,0,0,0,0,0,0,48,0,4,0,0,0,10,2,0,0,0,0,0,0,0,0,8,0
"Saline County, Illinois",17165,178,74,0,0,0,0,16,72,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,5,54,54,0,0,0,0,0,0,0,0,0,0
"Lake County, Illinois",17097,54157,19662,173,0,98,730,9612,9982,64,38,1368,6794,106,8,9,18,0,1974,278,314,552,1451,6,311,609,285,158,25,17,0,23,0,0,0,41,21,0
"Massac County, Illinois",17127,29,0,0,0,0,0,7,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cass County, Illinois",17017,45,0,0,0,0,0,0,37,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Huntington County, Indiana",18069,263,19,0,0,0,0,102,0,0,0,0,77,0,0,0,65,0,0,0,0,0,0,0,0,0,28,9,0,0,0,19,0,0,0,0,0,0
"White County, Indiana",18181,55,0,0,0,0,0,12,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,10,0,0,0,0,0,0
"Jay County, Indiana",18075,157,0,0,0,126,0,22,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Shelby County, Indiana",18145,250,0,0,0,4,0,59,32,0,0,143,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0
"Sullivan County, Indiana",18153,106,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
"Tippecanoe County, Indiana",18157,15564,3672,30,0,20,0,8017,460,0,93,267,1681,0,38,0,40,0,180,37,233,118,447,22,112,97,66,0,45,0,0,0,0,0,0,0,21,0
"Hamilton County, Indiana",18057,19336,6663,151,0,46,100,4993,1240,177,79,619,1619,29,78,0,31,0,1470,0,30,49,1242,0,124,596,69,5,0,0,0,33,15,0,0,0,16,0
"Bartholomew County, Indiana",18005,6104,3462,0,0,0,0,1227,131,0,0,535,65,12,3,0,0,0,387,0,0,0,154,0,93,35,42,42,0,0,0,0,0,0,0,0,0,0
"Fulton County, Indiana",18049,90,0,0,0,0,0,35,32,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0
"Noble County, Indiana",18113,314,7,0,0,7,0,52,15,0,0,0,14,0,0,0,0,0,0,0,0,0,180,0,7,32,10,0,0,0,0,0,0,0,0,0,0,10
"Clark County, Indiana",18019,1263,290,0,0,0,0,93,227,0,0,20,117,32,0,63,0,0,69,0,38,0,165,0,149,0,13,13,0,0,0,0,0,0,0,0,0,0
"Hendricks County, Indiana",18063,4773,2097,101,0,0,0,667,643,0,0,94,120,0,0,0,0,0,327,218,40,0,333,0,54,79,26,11,15,0,0,0,0,0,0,0,0,0
