State,AAPI,Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,Other Asian specified,Other Asian not specified,Two or more Asian,NHPI Alone,Polynesian Native Hawaiian,Polynesian Samoan,Polynesian Tongan,Polynesian Other,Micronesian Guamanian or Chamorro,Micronesian Marshallese,Micronesian Other,Melenesian Fijian,Melenesian Other,Other Pacific Islander not specified,Two or more NHPI
Alabama,65095.0,65095.0,14401.0,680.0,0.0,0.0,924.0,9653.0,5941.0,52.0,481.0,2921.0,10238.0,914.0,0.0,0.0,1430.0,14.0,3334.0,0.0,205.0,1437.0,10185.0,0.0,1707.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,237873.0,237873.0,58926.0,2353.0,1339.0,3355.0,2804.0,45854.0,44169.0,105.0,1148.0,11983.0,15633.0,1914.0,257.0,0.0,1698.0,92.0,3840.0,756.0,999.0,3792.0,27751.0,0.0,3377.0,5728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,47548.0,47548.0,9581.0,303.0,0.0,251.0,738.0,4983.0,4696.0,3382.0,37.0,1728.0,3178.0,6211.0,3.0,0.0,57.0,0.0,588.0,77.0,70.0,1578.0,8184.0,0.0,493.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,5977324.0,5821585.0,815948.0,13497.0,0.0,13507.0,82765.0,1542802.0,1299922.0,105009.0,26470.0,279888.0,470112.0,60894.0,4022.0,4052.0,16494.0,291.0,72534.0,11330.0,74682.0,51554.0,674243.0,1456.0,29741.0,170372.0,155739.0,22294.0,40179.0,19012.0,1471.0,31994.0,137.0,2923.0,27420.0,0.0,8119.0,2190.0
Colorado,180277.0,180277.0,35512.0,256.0,130.0,3325.0,3029.0,31086.0,19141.0,3123.0,597.0,9912.0,22998.0,1522.0,22.0,1255.0,4725.0,0.0,2505.0,211.0,2336.0,4996.0,25088.0,74.0,1867.0,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,165855.0,165855.0,70961.0,1550.0,0.0,664.0,3496.0,35627.0,9547.0,240.0,991.0,3917.0,9129.0,2199.0,69.0,113.0,1069.0,0.0,7767.0,1160.0,1562.0,1317.0,8792.0,0.0,2940.0,2745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,606475.0,593634.0,171778.0,8245.0,0.0,6878.0,4850.0,110011.0,107199.0,1727.0,2353.0,17542.0,30485.0,8168.0,599.0,195.0,1006.0,51.0,14332.0,2801.0,2979.0,12622.0,72431.0,98.0,9432.0,7852.0,12841.0,2772.0,1653.0,0.0,73.0,4389.0,249.0,1136.0,865.0,33.0,1147.0,524.0
